,cheb,step,gamma,decay,val
0,2,10,0.8,0.005,b'0.5785492658615112\n'
1,2,10,0.8,0.01,b'0.5851190090179443\n'
2,2,10,0.8,0.015,b'0.5907878875732422\n'
3,2,10,0.85,0.005,b'0.5561456084251404\n'
4,2,10,0.85,0.01,b'0.5640527606010437\n'
5,2,10,0.85,0.015,b'0.5709375143051147\n'
6,2,10,0.9,0.005,b'0.5295137166976929\n'
7,2,10,0.9,0.01,b'0.5385965704917908\n'
8,2,10,0.9,0.015,b'0.5459451079368591\n'
9,2,10,0.95,0.005,b'0.5141327977180481\n'
10,2,10,0.95,0.01,b'0.5274575352668762\n'
11,2,10,0.95,0.015,b'0.5359875559806824\n'
12,2,11,0.8,0.005,b'0.572556734085083\n'
13,2,11,0.8,0.01,b'0.5797114372253418\n'
14,2,11,0.8,0.015,b'0.5859016180038452\n'
15,2,11,0.85,0.005,b'0.5491854548454285\n'
16,2,11,0.85,0.01,b'0.5574601888656616\n'
17,2,11,0.85,0.015,b'0.5647302269935608\n'
18,2,11,0.9,0.005,b'0.525604248046875\n'
19,2,11,0.9,0.01,b'0.5345093607902527\n'
20,2,11,0.9,0.015,b'0.5421217083930969\n'
21,2,11,0.95,0.005,b'0.5114523768424988\n'
22,2,11,0.95,0.01,b'0.5262146592140198\n'
23,2,11,0.95,0.015,b'0.5360509753227234\n'
24,2,12,0.8,0.005,b'0.565873384475708\n'
25,2,12,0.8,0.01,b'0.5731689929962158\n'
26,2,12,0.8,0.015,b'0.5795975923538208\n'
27,2,12,0.85,0.005,b'0.5435920357704163\n'
28,2,12,0.85,0.01,b'0.5521973371505737\n'
29,2,12,0.85,0.015,b'0.5596354603767395\n'
30,2,12,0.9,0.005,b'0.5231326222419739\n'
31,2,12,0.9,0.01,b'0.5319164395332336\n'
32,2,12,0.9,0.015,b'0.5396201014518738\n'
33,2,12,0.95,0.005,b'0.5103332996368408\n'
34,2,12,0.95,0.01,b'0.5260392427444458\n'
35,2,12,0.95,0.015,b'0.5360889434814453\n'
36,2,13,0.8,0.005,b'0.5591109991073608\n'
37,2,13,0.8,0.01,b'0.5667716264724731\n'
38,2,13,0.8,0.015,b'0.573296070098877\n'
39,2,13,0.85,0.005,b'0.5382276177406311\n'
40,2,13,0.85,0.01,b'0.5467830896377563\n'
41,2,13,0.85,0.015,b'0.5544971227645874\n'
42,2,13,0.9,0.005,b'0.5216933488845825\n'
43,2,13,0.9,0.01,b'0.5310083031654358\n'
44,2,13,0.9,0.015,b'0.5384734272956848\n'
45,2,13,0.95,0.005,b'0.5095584988594055\n'
46,2,13,0.95,0.01,b'0.5255255699157715\n'
47,2,13,0.95,0.015,b'0.5356300473213196\n'
48,2,14,0.8,0.005,b'0.5526063442230225\n'
49,2,14,0.8,0.01,b'0.5604004263877869\n'
50,2,14,0.8,0.015,b'0.5673628449440002\n'
51,2,14,0.85,0.005,b'0.5331441164016724\n'
52,2,14,0.85,0.01,b'0.5418179035186768\n'
53,2,14,0.85,0.015,b'0.5492900013923645\n'
54,2,14,0.9,0.005,b'0.5204649567604065\n'
55,2,14,0.9,0.01,b'0.5301936864852905\n'
56,2,14,0.9,0.015,b'0.5374547243118286\n'
57,2,14,0.95,0.005,b'0.5094783902168274\n'
58,2,14,0.95,0.01,b'0.5257506370544434\n'
59,2,14,0.95,0.015,b'0.534731388092041\n'
60,2,15,0.8,0.005,b'0.5483970642089844\n'
61,2,15,0.8,0.01,b'0.5566476583480835\n'
62,2,15,0.8,0.015,b'0.5640367865562439\n'
63,2,15,0.85,0.005,b'0.5296902060508728\n'
64,2,15,0.85,0.01,b'0.5386006832122803\n'
65,2,15,0.85,0.015,b'0.5458648800849915\n'
66,2,15,0.9,0.005,b'0.5198928713798523\n'
67,2,15,0.9,0.01,b'0.5298120379447937\n'
68,2,15,0.9,0.015,b'0.5370962619781494\n'
69,2,15,0.95,0.005,b'0.5094143152236938\n'
70,2,15,0.95,0.01,b'0.5251248478889465\n'
71,2,15,0.95,0.015,b'0.5332986116409302\n'
