,cheb,step,gamma,decay,val
0,4,10,0.8,0.005,b'0.5760541558265686\n'
1,4,10,0.8,0.01,b'0.5789610147476196\n'
2,4,10,0.8,0.015,b'0.582891583442688\n'
3,4,10,0.85,0.005,b'0.5595106482505798\n'
4,4,10,0.85,0.01,b'0.5628761053085327\n'
5,4,10,0.85,0.015,b'0.5663000345230103\n'
6,4,10,0.9,0.005,b'0.532680332660675\n'
7,4,10,0.9,0.01,b'0.5372642874717712\n'
8,4,10,0.9,0.015,b'0.5418441891670227\n'
9,4,10,0.95,0.005,b'0.5169748067855835\n'
10,4,10,0.95,0.01,b'0.5203520655632019\n'
11,4,10,0.95,0.015,b'0.5236132740974426\n'
12,4,11,0.8,0.005,b'0.5696512460708618\n'
13,4,11,0.8,0.01,b'0.5728777647018433\n'
14,4,11,0.8,0.015,b'0.5768347382545471\n'
15,4,11,0.85,0.005,b'0.553280770778656\n'
16,4,11,0.85,0.01,b'0.5567271113395691\n'
17,4,11,0.85,0.015,b'0.5601062178611755\n'
18,4,11,0.9,0.005,b'0.5287632942199707\n'
19,4,11,0.9,0.01,b'0.5337560772895813\n'
20,4,11,0.9,0.015,b'0.5386683940887451\n'
21,4,11,0.95,0.005,b'0.5165260434150696\n'
22,4,11,0.95,0.01,b'0.5200181603431702\n'
23,4,11,0.95,0.015,b'0.5228970050811768\n'
24,4,12,0.8,0.005,b'0.5648036599159241\n'
25,4,12,0.8,0.01,b'0.5680568218231201\n'
26,4,12,0.8,0.015,b'0.5718565583229065\n'
27,4,12,0.85,0.005,b'0.5471736788749695\n'
28,4,12,0.85,0.01,b'0.5506101846694946\n'
29,4,12,0.85,0.015,b'0.554232656955719\n'
30,4,12,0.9,0.005,b'0.5255910754203796\n'
31,4,12,0.9,0.01,b'0.5307429432868958\n'
32,4,12,0.9,0.015,b'0.5358953475952148\n'
33,4,12,0.95,0.005,b'0.5156673789024353\n'
34,4,12,0.95,0.01,b'0.519515335559845\n'
35,4,12,0.95,0.015,b'0.5227078795433044\n'
36,4,13,0.8,0.005,b'0.5612950921058655\n'
37,4,13,0.8,0.01,b'0.5643301606178284\n'
38,4,13,0.8,0.015,b'0.567909300327301\n'
39,4,13,0.85,0.005,b'0.5417882204055786\n'
40,4,13,0.85,0.01,b'0.5453647971153259\n'
41,4,13,0.85,0.015,b'0.5491073727607727\n'
42,4,13,0.9,0.005,b'0.5220586657524109\n'
43,4,13,0.9,0.01,b'0.5272586941719055\n'
44,4,13,0.9,0.015,b'0.5322179198265076\n'
45,4,13,0.95,0.005,b'0.5144031047821045\n'
46,4,13,0.95,0.01,b'0.518922746181488\n'
47,4,13,0.95,0.015,b'0.5221503376960754\n'
48,4,14,0.8,0.005,b'0.5560152530670166\n'
49,4,14,0.8,0.01,b'0.5592226982116699\n'
50,4,14,0.8,0.015,b'0.5626713633537292\n'
51,4,14,0.85,0.005,b'0.5363174080848694\n'
52,4,14,0.85,0.01,b'0.5404737591743469\n'
53,4,14,0.85,0.015,b'0.5448397397994995\n'
54,4,14,0.9,0.005,b'0.5201506614685059\n'
55,4,14,0.9,0.01,b'0.525406002998352\n'
56,4,14,0.9,0.015,b'0.5303535461425781\n'
57,4,14,0.95,0.005,b'0.5128604769706726\n'
58,4,14,0.95,0.01,b'0.5182428956031799\n'
59,4,14,0.95,0.015,b'0.5219364762306213\n'
60,4,15,0.8,0.005,b'0.5524529218673706\n'
61,4,15,0.8,0.01,b'0.5557295083999634\n'
62,4,15,0.8,0.015,b'0.559093177318573\n'
63,4,15,0.85,0.005,b'0.5327441096305847\n'
64,4,15,0.85,0.01,b'0.5373300313949585\n'
65,4,15,0.85,0.015,b'0.5418975353240967\n'
66,4,15,0.9,0.005,b'0.5185636281967163\n'
67,4,15,0.9,0.01,b'0.5235486626625061\n'
68,4,15,0.9,0.015,b'0.5280455946922302\n'
69,4,15,0.95,0.005,b'0.5114521384239197\n'
70,4,15,0.95,0.01,b'0.5174736380577087\n'
71,4,15,0.95,0.015,b'0.5214647650718689\n'
