,cheb,step,gamma,decay,val
0,1,10,0.8,0.005,b'0.5903555750846863\n'
1,1,10,0.8,0.01,b'0.5935550332069397\n'
2,1,10,0.8,0.015,b'0.5973537564277649\n'
3,1,10,0.85,0.005,b'0.5787713527679443\n'
4,1,10,0.85,0.01,b'0.5833824276924133\n'
5,1,10,0.85,0.015,b'0.588238537311554\n'
6,1,10,0.9,0.005,b'0.5628229975700378\n'
7,1,10,0.9,0.01,b'0.5697981119155884\n'
8,1,10,0.9,0.015,b'0.5772833228111267\n'
9,1,10,0.95,0.005,b'0.5343311429023743\n'
10,1,10,0.95,0.01,b'0.5482144951820374\n'
11,1,10,0.95,0.015,b'0.5594017505645752\n'
12,1,11,0.8,0.005,b'0.5867131948471069\n'
13,1,11,0.8,0.01,b'0.5905716419219971\n'
14,1,11,0.8,0.015,b'0.594775378704071\n'
15,1,11,0.85,0.005,b'0.5750212669372559\n'
16,1,11,0.85,0.01,b'0.5803659558296204\n'
17,1,11,0.85,0.015,b'0.5859647393226624\n'
18,1,11,0.9,0.005,b'0.5593672394752502\n'
19,1,11,0.9,0.01,b'0.5671679973602295\n'
20,1,11,0.9,0.015,b'0.5751549601554871\n'
21,1,11,0.95,0.005,b'0.5281683802604675\n'
22,1,11,0.95,0.01,b'0.540868878364563\n'
23,1,11,0.95,0.015,b'0.5529024600982666\n'
24,1,12,0.8,0.005,b'0.5832490921020508\n'
25,1,12,0.8,0.01,b'0.5875123739242554\n'
26,1,12,0.8,0.015,b'0.5921332836151123\n'
27,1,12,0.85,0.005,b'0.5722523927688599\n'
28,1,12,0.85,0.01,b'0.5778599381446838\n'
29,1,12,0.85,0.015,b'0.5839230418205261\n'
30,1,12,0.9,0.005,b'0.5562929511070251\n'
31,1,12,0.9,0.01,b'0.5648728013038635\n'
32,1,12,0.9,0.015,b'0.5734467506408691\n'
33,1,12,0.95,0.005,b'0.524222195148468\n'
34,1,12,0.95,0.01,b'0.5346364378929138\n'
35,1,12,0.95,0.015,b'0.5463937520980835\n'
36,1,13,0.8,0.005,b'0.579704999923706\n'
37,1,13,0.8,0.01,b'0.5841535329818726\n'
38,1,13,0.8,0.015,b'0.5891625881195068\n'
39,1,13,0.85,0.005,b'0.5687504410743713\n'
40,1,13,0.85,0.01,b'0.5746946930885315\n'
41,1,13,0.85,0.015,b'0.5812116861343384\n'
42,1,13,0.9,0.005,b'0.5531783103942871\n'
43,1,13,0.9,0.01,b'0.5624995231628418\n'
44,1,13,0.9,0.015,b'0.5714879631996155\n'
45,1,13,0.95,0.005,b'0.5203813314437866\n'
46,1,13,0.95,0.01,b'0.5295761227607727\n'
47,1,13,0.95,0.015,b'0.5395824313163757\n'
48,1,14,0.8,0.005,b'0.5764994025230408\n'
49,1,14,0.8,0.01,b'0.5813843011856079\n'
50,1,14,0.8,0.015,b'0.5866802334785461\n'
51,1,14,0.85,0.005,b'0.5659369230270386\n'
52,1,14,0.85,0.01,b'0.5722554326057434\n'
53,1,14,0.85,0.015,b'0.5790934562683105\n'
54,1,14,0.9,0.005,b'0.5508257746696472\n'
55,1,14,0.9,0.01,b'0.5614123940467834\n'
56,1,14,0.9,0.015,b'0.5707113742828369\n'
57,1,14,0.95,0.005,b'0.5175970792770386\n'
58,1,14,0.95,0.01,b'0.5266847610473633\n'
59,1,14,0.95,0.015,b'0.5351333022117615\n'
60,1,15,0.8,0.005,b'0.5738532543182373\n'
61,1,15,0.8,0.01,b'0.5792264342308044\n'
62,1,15,0.8,0.015,b'0.5846524238586426\n'
63,1,15,0.85,0.005,b'0.5627211928367615\n'
64,1,15,0.85,0.01,b'0.5693987011909485\n'
65,1,15,0.85,0.015,b'0.5767225623130798\n'
66,1,15,0.9,0.005,b'0.548206090927124\n'
67,1,15,0.9,0.01,b'0.5594009160995483\n'
68,1,15,0.9,0.015,b'0.5690995454788208\n'
69,1,15,0.95,0.005,b'0.5149465799331665\n'
70,1,15,0.95,0.01,b'0.5242870450019836\n'
71,1,15,0.95,0.015,b'0.5319613814353943\n'
