,cheb,step,gamma,decay,val
0,5,10,0.8,0.005,b'0.6020621061325073\n'
1,5,10,0.8,0.01,b'0.6030728816986084\n'
2,5,10,0.8,0.015,b'0.6012023091316223\n'
3,5,10,0.85,0.005,b'0.5721582174301147\n'
4,5,10,0.85,0.01,b'0.5740335583686829\n'
5,5,10,0.85,0.015,b'0.5713241696357727\n'
6,5,10,0.9,0.005,b'0.5293775796890259\n'
7,5,10,0.9,0.01,b'0.5322210788726807\n'
8,5,10,0.9,0.015,b'0.532887876033783\n'
9,5,10,0.95,0.005,b'0.5003708600997925\n'
10,5,10,0.95,0.01,b'0.5037342309951782\n'
11,5,10,0.95,0.015,b'0.5069029927253723\n'
12,5,11,0.8,0.005,b'0.5957821011543274\n'
13,5,11,0.8,0.01,b'0.5967574715614319\n'
14,5,11,0.8,0.015,b'0.5939633250236511\n'
15,5,11,0.85,0.005,b'0.560046911239624\n'
16,5,11,0.85,0.01,b'0.5621222853660583\n'
17,5,11,0.85,0.015,b'0.5608084797859192\n'
18,5,11,0.9,0.005,b'0.5217885971069336\n'
19,5,11,0.9,0.01,b'0.5247604846954346\n'
20,5,11,0.9,0.015,b'0.5256162881851196\n'
21,5,11,0.95,0.005,b'0.4972078204154968\n'
22,5,11,0.95,0.01,b'0.5020156502723694\n'
23,5,11,0.95,0.015,b'0.5057024955749512\n'
24,5,12,0.8,0.005,b'0.5844916105270386\n'
25,5,12,0.8,0.01,b'0.5853751301765442\n'
26,5,12,0.8,0.015,b'0.5835874080657959\n'
27,5,12,0.85,0.005,b'0.5496545433998108\n'
28,5,12,0.85,0.01,b'0.5519816279411316\n'
29,5,12,0.85,0.015,b'0.5517886281013489\n'
30,5,12,0.9,0.005,b'0.5163689851760864\n'
31,5,12,0.9,0.01,b'0.518726110458374\n'
32,5,12,0.9,0.015,b'0.5198761820793152\n'
33,5,12,0.95,0.005,b'0.4949522316455841\n'
34,5,12,0.95,0.01,b'0.5011253356933594\n'
35,5,12,0.95,0.015,b'0.5055400133132935\n'
36,5,13,0.8,0.005,b'0.5755470395088196\n'
37,5,13,0.8,0.01,b'0.5766025185585022\n'
38,5,13,0.8,0.015,b'0.5751089453697205\n'
39,5,13,0.85,0.005,b'0.5414463877677917\n'
40,5,13,0.85,0.01,b'0.5439499020576477\n'
41,5,13,0.85,0.015,b'0.5442655086517334\n'
42,5,13,0.9,0.005,b'0.5120353698730469\n'
43,5,13,0.9,0.01,b'0.5140503644943237\n'
44,5,13,0.9,0.015,b'0.5149949193000793\n'
45,5,13,0.95,0.005,b'0.49325230717658997\n'
46,5,13,0.95,0.01,b'0.5008941292762756\n'
47,5,13,0.95,0.015,b'0.5062066316604614\n'
48,5,14,0.8,0.005,b'0.5667802691459656\n'
49,5,14,0.8,0.01,b'0.5687770843505859\n'
50,5,14,0.8,0.015,b'0.5666694641113281\n'
51,5,14,0.85,0.005,b'0.5351077914237976\n'
52,5,14,0.85,0.01,b'0.5384079217910767\n'
53,5,14,0.85,0.015,b'0.5387508869171143\n'
54,5,14,0.9,0.005,b'0.5091226100921631\n'
55,5,14,0.9,0.01,b'0.5110942125320435\n'
56,5,14,0.9,0.015,b'0.5117107629776001\n'
57,5,14,0.95,0.005,b'0.492334246635437\n'
58,5,14,0.95,0.01,b'0.5014429688453674\n'
59,5,14,0.95,0.015,b'0.5067360401153564\n'
60,5,15,0.8,0.005,b'0.5588962435722351\n'
61,5,15,0.8,0.01,b'0.5613568425178528\n'
62,5,15,0.8,0.015,b'0.5599873065948486\n'
63,5,15,0.85,0.005,b'0.5294229388237\n'
64,5,15,0.85,0.01,b'0.5326905846595764\n'
65,5,15,0.85,0.015,b'0.5332441926002502\n'
66,5,15,0.9,0.005,b'0.5069848895072937\n'
67,5,15,0.9,0.01,b'0.5090856552124023\n'
68,5,15,0.9,0.015,b'0.5099936723709106\n'
69,5,15,0.95,0.005,b'0.4916864037513733\n'
70,5,15,0.95,0.01,b'0.5021778345108032\n'
71,5,15,0.95,0.015,b'0.5073770880699158\n'
